Time,Airport,Altamount,Vashi,Virar,Malls
24,38.9,48.8,19,86.3,0
25,38.9,48.8,19,86.3,0
26,38.9,48.8,19,86.3,0
22,38.9,48.8,19,86.3,0
23,38.9,48.8,19,86.3,0
24,38.9,48.8,19,86.3,0
26,38.9,48.8,19,86.3,0
20,36.7,46.6,16.8,75.2,0
21,36.7,46.6,16.8,75.2,0
22,36.7,46.6,16.8,75.2,0
23,36.7,46.6,16.8,75.2,0
25,36.7,46.6,16.8,75.2,0
26,36.7,46.6,16.8,75.2,0
26,29.9,39.8,10,77.4,1
25,30.6,40.5,10.7,78.1,4
26,30.6,40.5,10.7,78.1,4
24,38.1,48,18.2,73.9,2
25,38.1,48,18.2,73.9,2
26,38.1,48,18.2,73.9,2
20,37.8,47.7,17.9,73.7,0
21,37.8,47.7,17.9,73.7,0
22,37.8,47.7,17.9,73.7,0
23,37.8,47.7,17.9,73.7,0
25,37.8,47.7,17.9,73.7,0
26,37.8,47.7,17.9,73.7,0
20,37.1,47,17.2,84.6,1
21,37.1,47,17.2,84.6,1
22,37.1,47,17.2,84.6,1
23,37.1,47,17.2,84.6,1
24,37.1,47,17.2,84.6,1
25,37.1,47,17.2,84.6,1
26,37.1,47,17.2,84.6,1
24,37.2,47.1,17.3,75.2,2
25,37.2,47.1,17.3,75.2,2
25,37.5,47.4,17.6,75,2
26,37.5,47.4,17.6,75,2
25,29.6,39.5,9.1,79.6,0
26,29.6,39.5,9.1,79.6,0
24,32.7,42.6,12.8,80.2,1
26,32.7,42.6,12.8,80.2,1
23,36.9,46.8,16.6,84.4,0
24,36.9,46.8,16.6,84.4,0
25,36.9,46.8,16.6,84.4,0
26,36.9,46.8,16.6,84.4,0
21,36.5,46.4,16.2,84,1
22,36.5,46.4,16.2,84,1
23,36.5,46.4,16.2,84,1
24,36.5,46.4,16.2,84,1
25,36.5,46.4,16.2,84,1
26,36.5,46.4,16.2,84,1
21,37,46.9,17.1,84.4,1
22,37,46.9,17.1,84.4,1
23,37,46.9,17.1,84.4,1
24,37,46.9,17.1,84.4,1
25,37,46.9,17.1,84.4,1
26,37,46.9,17.1,84.4,1
23,33,42.9,13,80.4,3
24,33,42.9,13,80.4,3
25,33,42.9,13,80.4,3
26,33,42.9,13,80.4,3
23,18.6,33.5,10.2,61.7,0
24,18.6,33.5,10.2,61.7,0
25,18.6,33.5,10.2,61.7,0
26,18.6,33.5,10.2,61.7,0
26,18,32.9,10.6,61.1,0
24,37.3,47.2,17.4,84.7,0
25,37.3,47.2,17.4,84.7,0
26,37.3,47.2,17.4,84.7,0
20,33.9,43.8,14,81.3,1
21,33.9,43.8,14,81.3,1
22,33.9,43.8,14,81.3,1
23,33.9,43.8,14,81.3,1
24,33.9,43.8,14,81.3,1
25,33.9,43.8,14,81.3,1
26,33.9,43.8,14,81.3,1
13,30.5,40.4,10.6,77.9,3
15,30.5,40.4,10.6,77.9,3
16,30.5,40.4,10.6,77.9,3
24,30.5,40.4,10.6,77.9,3
26,30.5,40.4,10.6,77.9,3
26,33.9,43.8,14,81.3,2
23,25.8,35.7,2.7,69.1,0
24,25.8,35.7,2.7,69.1,0
20,34.5,44.4,14.6,81.9,0
23,34.5,44.4,14.6,81.9,0
24,34.5,44.4,14.6,81.9,0
25,34.5,44.4,14.6,81.9,0
26,34.5,44.4,14.6,81.9,0
23,34.7,44.6,15,77.4,1
25,34.7,44.6,15,77.4,1
26,34.7,44.6,15,77.4,1
5,31.8,41.7,10.8,79.3,1
6,31.8,41.7,10.8,79.3,1
13,31.8,41.7,10.8,79.3,1
14,31.8,41.7,10.8,79.3,1
15,31.8,41.7,10.8,79.3,1
16,31.8,41.7,10.8,79.3,1
17,31.8,41.7,10.8,79.3,1
18,31.8,41.7,10.8,79.3,1
23,31.8,41.7,10.8,79.3,1
25,31.8,41.7,10.8,79.3,1
26,31.8,41.7,10.8,79.3,1
20,34.3,44.2,14.4,81.8,2
21,34.3,44.2,14.4,81.8,2
22,34.3,44.2,14.4,81.8,2
23,34.3,44.2,14.4,81.8,2
24,34.3,44.2,14.4,81.8,2
25,34.3,44.2,14.4,81.8,2
26,34.3,44.2,14.4,81.8,2
20,38.1,48,17.8,85.6,0
21,38.1,48,17.8,85.6,0
22,38.1,48,17.8,85.6,0
23,38.1,48,17.8,85.6,0
24,38.1,48,17.8,85.6,0
25,38.1,48,17.8,85.6,0
26,38.1,48,17.8,85.6,0
20,38.3,48.2,18.4,85.7,0
21,38.3,48.2,18.4,85.7,0
22,38.3,48.2,18.4,85.7,0
23,38.3,48.2,18.4,85.7,0
24,38.3,48.2,18.4,85.7,0
25,38.3,48.2,18.4,85.7,0
26,38.3,48.2,18.4,85.7,0
20,34.8,44.7,14.9,76.4,0
21,34.8,44.7,14.9,76.4,0
23,34.8,44.7,14.9,76.4,0
24,34.8,44.7,14.9,76.4,0
25,34.8,44.7,14.9,76.4,0
26,34.8,44.7,14.9,76.4,0
26,38.2,48.1,18.3,85.6,2
20,35.4,45.3,15.5,76.3,0
21,35.4,45.3,15.5,76.3,0
22,35.4,45.3,15.5,76.3,0
23,35.4,45.3,15.5,76.3,0
24,35.4,45.3,15.5,76.3,0
25,35.4,45.3,15.5,76.3,0
26,35.4,45.3,15.5,76.3,0
20,36.3,46.2,16,83.7,0
23,36.3,46.2,16,83.7,0
24,36.3,46.2,16,83.7,0
25,36.3,46.2,16,83.7,0
26,36.3,46.2,16,83.7,0
25,28.7,38.6,8.8,76.1,2
26,28.7,38.6,8.8,76.1,2
23,20,34.8,12.7,56.5,0
24,20,34.8,12.7,56.5,0
25,20,34.8,12.7,56.5,0
26,20,34.8,12.7,56.5,0
26,30.5,40.4,11.4,78,1
22,37.5,47.3,17.5,84.9,0
23,37.5,47.3,17.5,84.9,0
24,37.5,47.3,17.5,84.9,0
25,37.5,47.3,17.5,84.9,0
26,37.5,47.3,17.5,84.9,0
20,35.2,45.1,15.5,77.2,1
21,35.2,45.1,15.5,77.2,1
22,35.2,45.1,15.5,77.2,1
23,35.2,45.1,15.5,77.2,1
24,35.2,45.1,15.5,77.2,1
25,35.2,45.1,15.5,77.2,1
26,35.2,45.1,15.5,77.2,1
20,35.1,45,14.8,82.6,0
23,35.1,45,14.8,82.6,0
24,35.1,45,14.8,82.6,0
25,35.1,45,14.8,82.6,0
26,35.1,45,14.8,82.6,0
20,38.1,48,18.2,85.6,4
21,38.1,48,18.2,85.6,4
22,38.1,48,18.2,85.6,4
23,38.1,48,18.2,85.6,4
24,38.1,48,18.2,85.6,4
25,38.1,48,18.2,85.6,4
26,38.1,48,18.2,85.6,4
20,35.2,45.1,15.3,77.5,0
21,35.2,45.1,15.3,77.5,0
22,35.2,45.1,15.3,77.5,0
23,35.2,45.1,15.3,77.5,0
24,35.2,45.1,15.3,77.5,0
25,35.2,45.1,15.3,77.5,0
26,35.2,45.1,15.3,77.5,0
23,35.2,45.1,14.9,82.7,0
24,35.2,45.1,14.9,82.7,0
